Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,lcredit,Age2,default
67,male,2,own,,little,1169,6,radio/TV,7.063903961472068,4489,1
22,female,2,own,little,moderate,5951,48,radio/TV,8.691314551644853,484,2
49,male,1,own,little,,2096,12,education,7.647786045440933,2401,1
45,male,2,free,little,little,7882,42,furniture/equipment,8.97233695775495,2025,1
53,male,2,free,little,little,4870,24,car,8.490849216076635,2809,2
35,male,1,free,,,9055,36,education,9.111072370317514,1225,1
53,male,2,own,quite rich,,2835,24,furniture/equipment,7.949797216161852,2809,1
35,male,3,rent,little,moderate,6948,36,car,8.846209127360996,1225,1
61,male,1,own,rich,,3059,12,radio/TV,8.025843344150903,3721,1
28,male,3,own,little,moderate,5234,30,car,8.562931083090092,784,2
25,female,2,rent,little,moderate,1295,12,car,7.166265974133638,625,2
24,female,2,rent,little,little,4308,48,business,8.36822903827628,576,2
22,female,2,own,little,moderate,1567,12,radio/TV,7.356918242356021,484,1
60,male,1,own,little,little,1199,24,car,7.089243155027514,3600,2
28,female,2,rent,little,little,1403,15,car,7.246368080102461,784,1
32,female,1,own,moderate,little,1282,24,radio/TV,7.156176637480615,1024,2
53,male,2,own,,,2424,24,radio/TV,7.793174347189205,2809,1
25,male,2,own,,little,8072,30,business,8.996156562033445,625,1
44,female,3,free,little,moderate,12579,24,car,9.439784035838873,1936,2
31,male,2,own,quite rich,,3430,24,radio/TV,8.140315540159985,961,1
48,male,2,own,little,,2134,9,car,7.665753431861699,2304,1
44,male,2,rent,quite rich,little,2647,6,radio/TV,7.881182202227102,1936,1
48,male,1,rent,little,little,2241,10,car,7.714677473800927,2304,1
44,male,2,own,moderate,moderate,1804,12,car,7.497761700622568,1936,1
26,male,2,own,,,2069,10,furniture/equipment,7.634820677745543,676,1
36,male,1,own,little,little,1374,6,furniture/equipment,7.2254814727822945,1296,1
39,male,1,own,little,,426,6,radio/TV,6.054439346269371,1521,1
42,female,2,rent,rich,rich,409,12,radio/TV,6.013715156042802,1764,1
34,male,2,own,little,moderate,2415,7,radio/TV,7.789454566086673,1156,1
